Taxon Id,Common name,Scientific name
2715852,Panamanian white-faced capuchin,Cebus imitator
559292,Baker's yeast,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
388818,HIV-1,Human immunodeficiency virus type 1 group N (isolate YBF30)
327105,HIV-1,Human immunodeficiency virus type 1 group O (isolate ANT70)
237561,Yeast,Candida albicans (strain SC5314 / ATCC MYA-2876)
121224,Body louse,Pediculus humanus subsp. corporis
99883,Spotted green pufferfish,Tetraodon nigroviridis
69293,Three-spined stickleback,Gasterosteus aculeatus
61621,Black snub-nosed monkey,Rhinopithecus bieti
61622,Golden snub-nosed monkey,Rhinopithecus roxellana
61853,Northern white-cheeked gibbon,Nomascus leucogenys
63746,HCV,Hepatitis C virus genotype 1a (isolate H77)
54126,Parasitic nematode,Pristionchus pacificus
58103,LRV-1-1,Leishmania RNA virus 1 - 1 (isolate Leishmania guyanensis)
59463,Little brown bat,Myotis lucifugus
59729,Zebra finch,Taeniopygia guttata
59894,Collared flycatcher,Ficedula albicollis
60711,Green monkey,Chlorocebus sabaeus
49390,Robusta coffee,Coffea canephora
51511,Pacific transparent sea squirt,Ciona savignyi
46245,Fruit fly,Drosophila pseudoobscura pseudoobscura
48698,Amazon molly,Poecilia formosa
45351,Starlet sea anemone,Nematostella vectensis
43151,Mosquito,Anopheles darlingi
43179,Thirteen-lined ground squirrel,Ictidomys tridecemlineatus
44689,Social amoeba,Dictyostelium discoideum
39432,Bolivian squirrel monkey,Saimiri boliviensis boliviensis
37293,Ma's night monkey,Aotus nancymaae
34506,Parasitic roundworm,Strongyloides ratti
35128,Marine diatom,Thalassiosira pseudonana
28377,Green anole,Anolis carolinensis
30069,Indo-Pakistan malaria mosquito,Anopheles stephensi
30611,Small-eared galago,Otolemur garnettii
31033,Japanese pufferfish,Takifugu rubripes
13616,Gray short-tailed opossum,Monodelphis domestica
13735,Chinese softshell turtle,Pelodiscus sinensis
15368,Purple false brome,Brachypodium distachyon
12957,Leafcutter ant,Atta cephalotes
6279,Filarial nematode worm,Brugia malayi
6412,Californian leech,Helobdella robusta
6669,Water flea,Daphnia pulex
6945,Black-legged tick,Ixodes scapularis
7070,Red flour beetle,Tribolium castaneum
7091,Silk moth,Bombyx mori
7159,Yellowfever mosquito,Aedes aegypti
7165,African malaria mosquito,Anopheles gambiae
7209,Eye worm,Loa loa
7227,Fruit fly,Drosophila melanogaster
7460,Honeybee,Apis mellifera
7668,Purple sea urchin,Strongylocentrotus purpuratus
7719,Transparent sea squirt,Ciona intestinalis
7739,Florida lancelet,Branchiostoma floridae
7897,Coelacanth,Latimeria chalumnae
7918,Spotted gar,Lepisosteus oculatus
7955,Zebrafish,Danio rerio
7994,Blind cave fish,Astyanax mexicanus
8090,Japanese rice fish,Oryzias latipes
8128,Nile tilapia,Oreochromis niloticus
8355,African clawed frog,Xenopus laevis
8364,Western clawed frog,Xenopus tropicalis
8840,Northern mallard,Anas platyrhynchos platyrhynchos
9031,Chicken,Gallus gallus
9103,Wild turkey,Meleagris gallopavo
9258,Duckbill platypus,Ornithorhynchus anatinus
9305,Tasmanian devil,Sarcophilus harrisii
9483,White-tufted-ear marmoset,Callithrix jacchus
9531,Sooty mangabey,Cercocebus atys
9541,Crab-eating macaque,Macaca fascicularis
9544,Rhesus macaque,Macaca mulatta
9545,Pig-tailed macaque,Macaca nemestrina
9555,Olive baboon,Papio anubis
9568,Drill,Mandrillus leucophaeus
9595,Western lowland gorilla,Gorilla gorilla gorilla
9597,Pygmy chimpanzee,Pan paniscus
9598,Chimpanzee,Pan troglodytes
9601,Sumatran orangutan,Pongo abelii
9606,Human,Homo sapiens
9615,Dog,Canis lupus familiaris
9646,Giant panda,Ailuropoda melanoleuca
9669,European domestic ferret,Mustela putorius furo
9685,Cat,Felis catus
9785,African elephant,Loxodonta africana
9796,Horse,Equus caballus
9823,Pig,Sus scrofa
9913,Bovine,Bos taurus
9940,Sheep,Ovis aries
9986,Rabbit,Oryctolagus cuniculus
10090,Mouse,Mus musculus
10116,Rat,Rattus norvegicus
10141,Guinea pig,Cavia porcellus
6183,Blood fluke,Schistosoma mansoni
